Drink name,Water,Energy,Protein,Sugars,Calcium,Magnesium,Sodium,Cholestrol,Alcohol,Caffeine
Espresso,97.8,9,0.12,0,2,80,14,0,0,212
Brewed Coffee,99.39,1,0.12,0,2,3,2,0,0,40
Iced Coffee,99.51,1,0.09,0,2,3,2,0,0,31
Cappuccino,94.16,27,1.68,2.55,62,20,27,4,0,36
Cafe Mocha,85.15,64,2.52,9.42,91,24,52,6,0,33
Iced Mocha,88.12,50,1.55,8.07,57,22,39,4,0,35
Macchiato,94.94,23,1.16,1.68,40,57,24,2,0,142
Irish Coffee,86.63,88,0.27,2.04,6,2,3,7,8.3,27
Cuban Coffee,91.64,33,0.11,6.28,2,75,13,0,0,199
Turkish Coffee,92.94,26,0.11,6.48,2,3,2,0,0,37
Chicory Coffee,99.39,1,0.12,0,2,3,2,0,0,40
Cafe con Leche,91.18,39,1.64,4.93,58,44,28,4,0,104
Coffee Substitute,98.37,6,0.1,0.08,4,5,5,0,0,0

