Team,SeasonWage,FinalLeagueStanding,PointsGained,Year
Manchester United,50,1,80,2001
Arsenal,41,2,70,2001
Liverpool,49,3,69,2001
Leeds United,43,4,68,2001
Ipswich Town,18,5,66,2001
Chelsea,50,6,61,2001
Sunderland,23,7,57,2001
Aston Villa,25,8,54,2001
Charlton Athletic,17,9,52,2001
Southampton,16,10,52,2001
Newcastle,27,11,51,2001
Tottenham,25,12,49,2001
Leicester City,22,13,48,2001
Middlesbrough,35,14,42,2001
West Ham,32,15,42,2001
Everton,26,16,42,2001
Derby,19,17,42,2001
Manchester City,18,18,34,2001
Coventry City,19,19,34,2001
Bradford City,15,20,26,2001
Arsenal,62,1,87,2002
Liverpool,56,2,80,2002
Manchester United,70,3,77,2002
Newcastle,32,4,71,2002
Leeds United,54,5,66,2002
Chelsea,56,6,64,2002
West Ham,33,7,53,2002
Aston Villa,31,8,50,2002
Tottenham,37,9,50,2002
Blackburn Rovers,30,10,46,2002
Southampton,23,11,45,2002
Middlesbrough,30,12,45,2002
Fulham,31,13,44,2002
Charlton Athletic,22,14,44,2002
Everton,29,15,43,2002
Bolton,19,16,40,2002
Sunderland,26,17,40,2002
Ipswich Town,24,18,36,2002
Derby,20,19,30,2002
Leicester City,18,20,28,2002
Manchester United,80,1,83,2003
Arsenal,61,2,78,2003
Newcastle,45,3,69,2003
Chelsea,54,4,67,2003
Liverpool,54,5,64,2003
Blackburn Rovers,36,6,60,2003
Everton,30,7,59,2003
Southampton,27,8,52,2003
Manchester City,35,9,51,2003
Tottenham,38,10,50,2003
Middlesbrough,29,11,49,2003
Charlton Athletic,24,12,49,2003
Birmingham City,20,13,48,2003
Fulham,36,14,48,2003
Leeds United,57,15,47,2003
Aston Villa,32,16,45,2003
Bolton,0,17,44,2003
West Ham,33,18,42,2003
West Brom,12,19,26,2003
Sunderland,34,20,19,2003
Arsenal,70,1,90,2004
Chelsea,115,2,79,2004
Manchester United,77,3,75,2004
Liverpool,66,4,60,2004
Newcastle,45,5,56,2004
Aston Villa,34,6,56,2004
Charlton Athletic,30,7,53,2004
Bolton,24,8,53,2004
Fulham,31,9,52,2004
Birmingham City,23,10,50,2004
Middlesbrough,29,11,48,2004
Southampton,26,12,47,2004
Portsmouth,26,13,45,2004
Tottenham,35,14,45,2004
Blackburn Rovers,31,15,44,2004
Manchester City,38,16,41,2004
Everton,33,17,39,2004
Leicester City,24,18,33,2004
Leeds United,37,19,33,2004
Wolves,19,20,33,2004
Chelsea,109,1,95,2005
Arsenal,66,2,83,2005
Manchester United,77,3,77,2005
Everton,31,4,61,2005
Liverpool,64,5,58,2005
Bolton,25,6,58,2005
Middlesbrough,29,7,55,2005
Manchester City,38,8,52,2005
Tottenham,33,9,52,2005
Aston Villa,33,10,47,2005
Charlton Athletic,29,11,46,2005
Birmingham City,27,12,45,2005
Fulham,34,13,44,2005
Newcastle,50,14,44,2005
Blackburn Rovers,31,15,42,2005
Portsmouth,25,16,39,2005
West Brom,21,17,34,2005
Crystal Palace,0,18,33,2005
Norwich City,17,19,33,2005
Southampton,28,20,32,2005
Chelsea,114,1,91,2006
Manchester United,85,2,83,2006
Liverpool,69,3,82,2006
Arsenal,83,4,67,2006
Tottenham,41,5,65,2006
Blackburn Rovers,33,6,63,2006
Newcastle,52,7,58,2006
Bolton,29,8,56,2006
West Ham,31,9,55,2006
Wigan Athletic,21,10,51,2006
Everton,37,11,50,2006
Fulham,30,12,48,2006
Charlton Athletic,34,13,47,2006
Middlesbrough,0,14,45,2006
Manchester City,34,15,43,2006
Aston Villa,38,16,42,2006
Portsmouth,25,17,38,2006
Birmingham City,27,18,34,2006
West Brom,20,19,30,2006
Sunderland,17,20,15,2006
Manchester United,92,1,89,2007
Chelsea,133,2,83,2007
Liverpool,78,3,68,2007
Arsenal,90,4,68,2007
Tottenham,44,5,60,2007
Everton,38,6,58,2007
Bolton,30,7,56,2007
Reading,30,8,55,2007
Portsmouth,37,9,54,2007
Blackburn Rovers,38,10,52,2007
Aston Villa,43,11,50,2007
Middlesbrough,38,12,46,2007
Newcastle,63,13,43,2007
Manchester City,36,14,42,2007
West Ham,44,15,41,2007
Fulham,35,16,39,2007
Wigan Athletic,28,17,38,2007
Sheffield United,22,18,38,2007
Charlton Athletic,34,19,34,2007
Watford,18,20,28,2007
Manchester United,121,1,87,2008
Chelsea,172,2,85,2008
Arsenal,101,3,83,2008
Liverpool,90,4,76,2008
Everton,45,5,65,2008
Aston Villa,50,6,60,2008
Blackburn Rovers,40,7,58,2008
Portsmouth,55,8,57,2008
Manchester City,54,9,55,2008
West Ham,54,10,49,2008
Tottenham,53,11,46,2008
Newcastle,75,12,43,2008
Middlesbrough,35,13,42,2008
Wigan Athletic,38,14,40,2008
Sunderland,37,15,39,2008
Bolton,39,16,37,2008
Fulham,39,17,36,2008
Reading,33,18,36,2008
Birmingham City,27,19,35,2008
Derby,26,20,11,2008
Manchester United,123,1,90,2009
Liverpool,107,2,86,2009
Chelsea,167,3,83,2009
Arsenal,104,4,72,2009
Everton,49,5,63,2009
Aston Villa,71,6,62,2009
Fulham,46,7,53,2009
Tottenham,63,8,51,2009
West Ham,70,9,51,2009
